,Ranking,n,Economy,dollars,
KSV,146,,Kosovo,"6,445",
PAN,89,,Panama,"36,253",
BGR,76,,Bulgaria,"50,972",
SEN,119,,Senegal,"14,046",
BMU,149,,Bermuda,"5,474",
NZL,55,,New Zealand,"167,347",
HTI,139,,Haiti,"7,843",
NOR,23,,Norway,"499,667",
GHA,86,,Ghana,"40,711",
MNE,151,,Montenegro,"4,373",
BFA,128,,Burkina Faso,"10,441",
LBN,83,,Lebanon,"42,945",
ISL,122,,Iceland,"13,579",
PRY,97,,Paraguay,"25,502",
ARE,32,,United Arab Emirates,"348,595",
SLE,157,,Sierra Leone,"3,796",
EST,103,,Estonia,"22,390",
NLD,18,,Netherlands,"770,555",
CHE,20,,Switzerland,"631,173",
ZAF,28,,South Africa,"384,313",
ABW,161,,Aruba,"2,584",
FRA,5,,France,"2,612,878",
AZE,68,,Azerbaijan,"66,605",
MUS,127,,Mauritius,"10,486",
SYC,173,,Seychelles,"1,129",
TKM,91,,Turkmenistan,"35,164",
LUX,74,,Luxembourg,"55,178",
AUS,12,,Australia,"1,532,408",
GUY,160,,Guyana,"2,851",
TUV,190,,Tuvalu,40,
SYR,65,,Syrian Arab Republic,"73,672",
KHM,120,,Cambodia,"14,038",
BRA,7,,Brazil,"2,252,664",
GTM,77,,Guatemala,"50,234",
KWT,56,,Kuwait,"160,913",
BRN,113,,Brunei Darussalam,"16,954",
NAM,123,,Namibia,"13,072",
LAO,136,,Lao PDR,"9,418",
BHR,93,,Bahrain,"29,044",
ATG,172,,Antigua and Barbuda,"1,134",
KIR,189,,Kiribati,175,
GRD,178,,Grenada,767,
CPV,166,,Cape Verde,"1,827",
MYS,34,,Malaysia,"305,033",
IRN,22,,"Iran, Islamic Rep.","514,060",
MDG,132,,Madagascar,"9,975",
SSD,131,,South Sudan,"10,220",
BTN,167,,Bhutan,"1,780",
GRC,42,,Greece,"249,099",
ZMB,104,,Zambia,"20,678",
EGY,38,,"Egypt, Arab Rep.","262,832",
SGP,35,,Singapore,"274,701",
PRT,45,,Portugal,"212,274",
SWE,21,,Sweden,"523,806",
SAU,19,,Saudi Arabia,"711,050",
POL,24,,Poland,"489,795",
GMB,175,,"Gambia, The",917,
BIH,111,,Bosnia and Herzegovina,"17,466",
TTO,101,,Trinidad and Tobago,"23,320",
NGA,39,,Nigeria,"262,597",
ARM,133,,Armenia,"9,951",
ETH,85,,Ethiopia,"41,605",
AFG,105,,Afghanistan,"20,497",
CUB,67,,Cuba,"68,234",
BRB,153,,Barbados,"4,225",
CAF,165,,Central African Republic,"2,184",
JOR,92,,Jordan,"31,015",
OMN,66,,Oman,"69,972",
THA,31,,Thailand,"365,966",
MLI,129,,Mali,"10,308",
FIN,43,,Finland,"247,546",
MDA,141,,Moldova,"7,253",f
FJI,155,,Fiji,"3,908",
COL,30,,Colombia,"369,606",
KAZ,50,,Kazakhstan,"203,521",
CHN,2,,China,"8,227,103",
PAK,44,,Pakistan,"225,143",
PRI,61,,Puerto Rico,"101,496",
SVN,80,,Slovenia,"45,279",
LTU,84,,Lithuania,"42,344",
TUR,17,,Turkey,"789,257",
NIC,126,,Nicaragua,"10,507",
CZE,51,,Czech Republic,"196,446",
BLZ,169,,Belize,"1,493",
HND,108,,Honduras,"18,434",
MAR,62,,Morocco,"95,982",a
KNA,178,,St. Kitts and Nevis,767,
NER,144,,Niger,"6,773",
GNQ,110,,Equatorial Guinea,"17,697",
RUS,8,,Russian Federation,"2,014,775",
SLV,100,,El Salvador,"23,864",
MOZ,118,,Mozambique,"14,244",
IRL,46,,Ireland,"210,771",
PER,49,,Peru,"203,790",
IRQ,47,,Iraq,"210,280",
MLT,137,,Malta,"8,722",
BEN,140,,Benin,"7,557",
SWZ,158,,Swaziland,"3,744",
COM,182,,Comoros,596,
HKG,37,,"Hong Kong SAR, China","263,259",
LBR,168,,Liberia,"1,734",
WSM,181,,Samoa,684,
AGO,60,,Angola,"114,147",
CIV,99,,C̫te d'Ivoire,"24,680",
BWA,117,,Botswana,"14,504",
COG,121,,"Congo, Rep.","13,678",
RWA,142,,Rwanda,"7,103",
SRB,88,,Serbia,"37,489",
DMA,183,,Dominica,480,
